Game_ID,Result,Home,Away,Date,Won,Won_Points,Lost,Lost_Points,Home_Won
401267269,"PHI 141, WSH 136",Philadelphia 76ers,Washington Wizards,20210106,Philadelphia 76ers,141,Washington Wizards,136,Yes
401267270,"CHA 102, ATL 94",Atlanta Hawks,Charlotte Hornets,20210106,Charlotte Hornets,102,Atlanta Hawks,94,No
401267271,"BOS 107, MIA 105",Miami Heat,Boston Celtics,20210106,Boston Celtics,107,Miami Heat,105,No
401267272,"NY 112, UTAH 100",New York Knicks,Utah Jazz,20210106,New York Knicks,112,Utah Jazz,100,Yes
401267273,"MIL 130, DET 115",Milwaukee Bucks,Detroit Pistons,20210106,Milwaukee Bucks,130,Detroit Pistons,115,Yes
401267274,"OKC 111, NO 110",New Orleans Pelicans,Oklahoma City Thunder,20210106,Oklahoma City Thunder,111,New Orleans Pelicans,110,No
401267275,"PHX 123, TOR 115",Phoenix Suns,Toronto Raptors,20210106,Phoenix Suns,123,Toronto Raptors,115,Yes
401267276,"LAC 108, GS 101",Golden State Warriors,LA Clippers,20210106,LA Clippers,108,Golden State Warriors,101,No
401267277,"SAC 128, CHI 124",Sacramento Kings,Chicago Bulls,20210106,Sacramento Kings,128,Chicago Bulls,124,Yes
401267278,"BKN 122, PHI 109",Brooklyn Nets,Philadelphia 76ers,20210107,Brooklyn Nets,122,Philadelphia 76ers,109,Yes
401267279,"CLE 94, MEM 90",Memphis Grizzlies,Cleveland Cavaliers,20210107,Cleveland Cavaliers,94,Memphis Grizzlies,90,No
401267280,"DAL 124, DEN 117 (OT)",Denver Nuggets,Dallas Mavericks,20210107,Dallas Mavericks,124,Denver Nuggets,117,No
401267281,"SA 118, LAL 109",Los Angeles Lakers,San Antonio Spurs,20210107,San Antonio Spurs,118,Los Angeles Lakers,109,No
401267282,"POR 135, MIN 117",Portland Trail Blazers,Minnesota Timberwolves,20210107,Portland Trail Blazers,135,Minnesota Timberwolves,117,Yes
401267283,"DET 110, PHX 105 (OT)",Detroit Pistons,Phoenix Suns,20210108,Detroit Pistons,110,Phoenix Suns,105,Yes
401267284,"BOS 116, WSH 107",Boston Celtics,Washington Wizards,20210108,Boston Celtics,116,Washington Wizards,107,Yes
401267285,"OKC 101, NY 89",New York Knicks,Oklahoma City Thunder,20210108,Oklahoma City Thunder,101,New York Knicks,89,No
401267286,"CHA 118, NO 110",New Orleans Pelicans,Charlotte Hornets,20210108,Charlotte Hornets,118,New Orleans Pelicans,110,No
401267287,"HOU 132, ORL 90",Houston Rockets,Orlando Magic,20210108,Houston Rockets,132,Orlando Magic,90,Yes
401267288,"MEM 115, BKN 110",Memphis Grizzlies,Brooklyn Nets,20210108,Memphis Grizzlies,115,Brooklyn Nets,110,Yes
401267289,"UTAH 131, MIL 118",Milwaukee Bucks,Utah Jazz,20210108,Utah Jazz,131,Milwaukee Bucks,118,No
401267290,"GS 115, LAC 105",Golden State Warriors,LA Clippers,20210108,Golden State Warriors,115,LA Clippers,105,Yes
401267291,"LAL 117, CHI 115",Los Angeles Lakers,Chicago Bulls,20210108,Los Angeles Lakers,117,Chicago Bulls,115,Yes
401267292,"TOR 144, SAC 123",Sacramento Kings,Toronto Raptors,20210108,Toronto Raptors,144,Sacramento Kings,123,No
401267293,"DEN 115, PHI 103",Philadelphia 76ers,Denver Nuggets,20210109,Denver Nuggets,115,Philadelphia 76ers,103,No
